#options: 480x854 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=abr mbtree=1 bitrate=3604 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:94 out:94 type:B dur:2 cpbdur:2 q:7.98 aq:5.03 tex:17618 mv:1263 misc:1351 imb:0 pmb:439 smb:1181 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:8.02 aq:3.60 tex:1288 mv:89 misc:399 imb:1 pmb:35 smb:1584 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:7.93 aq:2.57 tex:1497 mv:308 misc:587 imb:7 pmb:72 smb:1541 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:7.62 aq:1.18 tex:172800 mv:2356 misc:1476 imb:12 pmb:800 smb:808 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:7.75 aq:3.18 tex:25106 mv:1471 misc:839 imb:8 pmb:244 smb:1368 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:7.81 aq:3.16 tex:2867 mv:343 misc:574 imb:0 pmb:81 smb:1539 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:7.69 aq:3.45 tex:4965 mv:744 misc:635 imb:0 pmb:137 smb:1483 d:- ref:0 ;
in:102 out:101 type:P dur:2 cpbdur:2 q:7.49 aq:1.23 tex:173770 mv:2271 misc:1487 imb:15 pmb:762 smb:843 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:7.56 aq:3.67 tex:7855 mv:1006 misc:603 imb:7 pmb:125 smb:1488 d:- ref:0 ;
in:104 out:103 type:P dur:2 cpbdur:2 q:7.33 aq:1.11 tex:175581 mv:2226 misc:1441 imb:18 pmb:732 smb:870 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:7.41 aq:2.16 tex:2127 mv:187 misc:502 imb:0 pmb:56 smb:1564 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:7.29 aq:1.21 tex:129318 mv:1718 misc:1428 imb:6 pmb:686 smb:928 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:7.31 aq:3.02 tex:30638 mv:1381 misc:933 imb:0 pmb:356 smb:1264 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:7.32 aq:2.80 tex:2003 mv:111 misc:534 imb:0 pmb:62 smb:1558 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:7.30 aq:3.10 tex:3491 mv:362 misc:603 imb:7 pmb:80 smb:1533 d:- ref:0 ;
in:110 out:109 type:P dur:2 cpbdur:2 q:6.70 aq:1.06 tex:100239 mv:1264 misc:1513 imb:3 pmb:681 smb:936 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:6.99 aq:2.70 tex:2683 mv:337 misc:596 imb:5 pmb:84 smb:1531 d:- ref:0 ;
in:112 out:111 type:P dur:2 cpbdur:2 q:6.44 aq:1.22 tex:78085 mv:1151 misc:1508 imb:5 pmb:655 smb:960 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:6.57 aq:2.17 tex:2917 mv:223 misc:612 imb:5 pmb:76 smb:1539 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:6.18 aq:1.32 tex:109368 mv:1596 misc:1324 imb:12 pmb:607 smb:1001 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:6.31 aq:3.22 tex:24895 mv:1191 misc:1010 imb:0 pmb:373 smb:1247 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:6.38 aq:1.88 tex:3606 mv:304 misc:666 imb:5 pmb:95 smb:1520 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:6.25 aq:1.78 tex:3024 mv:150 misc:594 imb:0 pmb:77 smb:1543 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:5.67 aq:3.32 tex:945622 mv:5468 misc:390 imb:246 pmb:1323 smb:51 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:5.93 aq:2.37 tex:67514 mv:1186 misc:1156 imb:2 pmb:473 smb:1145 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:6.05 aq:2.71 tex:4484 mv:251 misc:721 imb:0 pmb:113 smb:1507 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:5.80 aq:2.91 tex:19006 mv:775 misc:835 imb:0 pmb:226 smb:1394 d:- ref:0 ;
in:122 out:121 type:P dur:2 cpbdur:2 q:5.66 aq:3.21 tex:437707 mv:4354 misc:1075 imb:398 pmb:413 smb:809 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:5.67 aq:4.52 tex:18134 mv:684 misc:1278 imb:0 pmb:386 smb:1234 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:6.14 aq:0.90 tex:907990 mv:10182 misc:500 imb:988 pmb:384 smb:248 d:- ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:5.90 aq:2.90 tex:119883 mv:2856 misc:1365 imb:2 pmb:567 smb:1051 d:- ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:5.78 aq:4.73 tex:4524 mv:397 misc:679 imb:0 pmb:136 smb:1484 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:6.02 aq:2.98 tex:3753 mv:594 misc:893 imb:0 pmb:175 smb:1445 d:- ref:0 ;
